Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Belki,Belki,Dedublüman,2022-08-05,163450,81,0.317,0.388,0.496,0.000182,0.153,-8.707,0.03,183.965,4
Bu Akşam,Belki Alışman Lazım,Duman,2002-10-16,175666,61,0.00865,0.475,0.85,5.85e-05,0.315,-6.435,0.0405,149.969,4
Yıldızların Altında,Yıldızların Altında,Kargo,2005-07-14,177580,68,0.518,0.604,0.85,0.0,0.0969,-5.542,0.0413,141.933,4
Dibine Kadar,Duman 1,Duman,2010-07-06,228506,68,0.00207,0.437,0.923,2.48e-06,0.107,-6.794,0.0509,141.636,4
Bir Derdim Var,Dünya Yalan Söylüyor,mor ve ötesi,2004-04-16,204320,0,0.012,0.586,0.89,0.00508,0.114,-1.988,0.0369,119.062,4
Anason,13,Zakkum,2011-02-10,275304,0,0.525,0.619,0.644,0.0,0.129,-4.368,0.0249,94.991,4
Islak Islak,Islak Islak,Barış Akarsu,2004-12-31,286484,0,0.00669,0.599,0.759,0.000396,0.16,-6.879,0.0285,124.955,4
Yanında Uyansam,Yanında Uyansam,Kaldı 8,2022-09-09,199651,48,0.0632,0.483,0.936,0.0,0.292,-7.887,0.0618,185.954,4
Kendime Yalan Söyledim,Akiyor Zaman,Seksendört,2011-03-03,267080,66,0.21,0.69,0.731,0.0,0.0611,-5.77,0.0317,126.992,4
Cevapsız Sorular,Şehr-i Hüzün,maNga,2009-11-09,272040,68,0.103,0.463,0.696,0.0,0.104,-4.517,0.0294,187.971,4
Yıldızlar Üstüne Parlıyorken,Yıldızlar Üstüne Parlıyorken,Çetin Dilsiz,2022-05-13,176385,47,0.245,0.557,0.747,0.0,0.185,-6.309,0.0334,83.011,4
Haydi Gel İçelim,Katil & Maktül,Yüksek Sadakat,2008,250440,0,0.0825,0.635,0.66,0.0,0.0779,-4.558,0.0711,136.017,4
Ben Seni Ararken,Ben Seni Ararken,Virane,2022-01-07,322159,44,0.16,0.334,0.472,0.000863,0.0898,-11.684,0.0503,175.873,4
Anlayamazsın,Anlayamazsın,Seksendört,2018-06-12,242389,68,0.0632,0.488,0.707,0.0,0.258,-6.834,0.033,81.999,4
Beni Yakın,Beni Yakın,Mentra,2021-03-26,232987,39,0.0346,0.541,0.627,5.21e-05,0.271,-8.856,0.0329,153.942,4
Aşk Nerden Nereye,Yalnızlığın Çaresini Bulmuşlar,Gripin,2012-11-07,297195,68,0.535,0.594,0.588,0.0,0.165,-6.04,0.0318,139.979,4
Sarılsak Geçerdi,Sarılsak Geçerdi,Kaldı 8,2020-07-23,223717,0,0.1,0.5,0.549,0.000423,0.439,-12.005,0.0282,75.018,4
Oyunbozan,Güneşi Beklerken,mor ve ötesi,2012-12-17,277328,0,0.000449,0.492,0.866,0.00648,0.178,-5.101,0.0342,131.309,4
Beni Aşka İnandır,Yatağın Soğuk Tarafı,Kolpa,2011,253654,0,0.198,0.589,0.793,0.0,0.159,-5.731,0.0368,133.914,4
Her Yol Uçurum,Her Yol Uçurum,Mentra,2022-03-18,179888,48,0.0589,0.601,0.745,0.519,0.353,-5.904,0.0277,127.905,4
Gemiler,O,Teoman,1998-06-19,260066,58,0.0796,0.552,0.706,0.0,0.046,-8.785,0.0444,79.991,4
Gamzedeyim Deva Bulmam,Gamzedeyim Deva Bulmam,Dedublüman,2020-02-01,316800,71,0.036,0.465,0.436,0.378,0.141,-10.541,0.0289,125.047,4
Savaşım Kendimle,Savaşım Kendimle,Kaldı 8,2020-08-21,212625,41,0.336,0.466,0.562,0.0,0.312,-11.035,0.0383,159.902,3
Pembe Mezarlık,Diğer Masallar,Model,2011-02-16,255346,0,0.225,0.538,0.84,0.0,0.129,-6.384,0.061,140.024,4
Nasıl Öğrendin Unutmayı,Yatağın Soğuk Tarafı,Kolpa,2011,284258,0,0.649,0.55,0.395,0.0,0.0944,-7.016,0.0316,143.749,4
Kendini Bilmezim,Kendini Bilmezim,Nasıl Yani,2020-05-30,250365,37,0.00623,0.481,0.839,0.00668,0.0689,-5.352,0.0417,109.974,4
Anlat Ona,Şimdi,Yedinci Ev,2013-08-27,214227,66,0.0727,0.556,0.709,0.0,0.11,-6.828,0.0537,73.454,4
Ölürüm Hasretinle,Seksendört,Seksendört,2005-12-07,287788,0,0.11,0.61,0.73,0.0,0.254,-7.617,0.0321,99.985,4
Bu Şehir Bizim,Kuralsız Oyun,Mentra,2021-01-15,194625,48,0.0564,0.595,0.645,0.0,0.158,-8.842,0.0259,109.999,4
Mor Yazma,Umut Kaya,Umut Kaya,2008-11-27,199041,0,0.00749,0.637,0.73,0.0,0.184,-5.543,0.0397,140.969,4
Hiç İyi Değilim,Hiç İyi Değilim,Dolu Kadehi Ters Tut,2022-03-11,212312,69,0.0016,0.485,0.826,0.00227,0.151,-5.982,0.0422,156.193,4
Yok,Yok,Mentra,2022-07-22,247594,33,0.021,0.452,0.794,2.28e-05,0.171,-4.629,0.0343,155.86,3
O Ben Olamam,O Ben Olamam,Mavi Gri,2020-01-16,319270,0,0.0425,0.272,0.442,0.00457,0.114,-10.516,0.0496,82.809,4
Hayir Olamaz,Akiyor Zaman,Seksendört,2011-03-03,204333,62,0.143,0.644,0.849,0.0,0.176,-6.086,0.0508,92.026,4
Gerçeklerin Kıyısında,Gerçeklerin Kıyısında,LEVA,2022-04-28,190000,33,0.0279,0.57,0.546,0.0,0.24,-9.428,0.0254,93.025,4
Gökyüzünü Tutamam,Gökyüzünü Tutamam,Can Koç,2021-07-23,195000,78,0.0801,0.471,0.671,0.00965,0.136,-9.569,0.16,176.104,4
Yalnızlık Saltanatım,Yalnızlık Saltanatım,Onur Çırak,2022-09-23,181846,29,0.329,0.384,0.458,0.00209,0.135,-9.637,0.0332,129.643,4
Oyuncak Bebek,Oyuncak Bebek,Emre Bulut,2022-09-23,196497,47,0.0367,0.576,0.855,5.34e-06,0.335,-6.931,0.0438,140.029,4
Freud'un Purosu,Hayaller Medeniyeti,HAYBE,2022-07-01,193565,28,0.00831,0.662,0.638,0.00215,0.244,-7.819,0.0238,104.991,4
Cinnet,Cinnet,Dekadans,2022-09-09,346714,36,0.0476,0.6,0.599,3.46e-05,0.0913,-6.424,0.0339,140.124,4
Böyle Kahpedir Dünya,Gripin,Gripin,2007,262079,56,0.0337,0.589,0.857,2.57e-05,0.0887,-5.172,0.0397,123.02,4
Sen Ve Ben,Sen Ve Ben,Cenani,2022-06-19,229187,26,0.222,0.565,0.548,3.53e-06,0.0977,-5.904,0.0339,129.9,4
Sabret,Sabret,Mustafa Efe Tural,2022-08-12,188743,29,0.0253,0.559,0.896,2.69e-05,0.272,-7.205,0.0451,91.987,4
Umrumda Değilsin,Kaçmam Lazım,HAYBE,2020-06-10,195473,27,0.415,0.625,0.8,0.329,0.0989,-9.728,0.0353,94.967,4
Haram Geceler,Behzat Ç. (Orijinal Dizi ve Film Müzikleri),Cem Kısmet - Pilli Bebek,2012-07-05,274080,60,0.61,0.7,0.181,0.0,0.116,-21.846,0.032,104.005,4
Sensiz Ben,Giz,Pera,2013-12-10,270480,63,0.117,0.726,0.611,0.000311,0.226,-8.058,0.0254,106.042,4
Bir Sevmek Bin Defa Ölmek Demekmiş,Ayrılık Zamansız Gelir,Barış Akarsu,2007-11-29,248000,0,0.217,0.273,0.585,0.000178,0.139,-6.762,0.0508,204.12,4
Yağmurlar,Kadın,Şebnem Ferah,2013-02-14,306967,59,0.0859,0.495,0.491,0.0,0.369,-8.949,0.0287,124.87,4
Saydim,O Gun,Ogün Sanlısoy,2004-04-01,251360,56,0.0411,0.453,0.867,0.0,0.0939,-4.328,0.0347,148.049,4
Dünyanın En Güzel Kızı,Dünyanın En Güzel Kızı,Mavi Gri,2021-12-17,217687,0,0.00881,0.522,0.804,0.00026,0.266,-7.61,0.0441,159.856,4
Bu Aşk Fazla Sana,Kadın,Şebnem Ferah,1996,268515,0,0.0249,0.638,0.889,3.62e-06,0.181,-5.315,0.0352,125.005,4
Sil Baştan,10 Mart 2007 İstanbul Konseri,Şebnem Ferah,2007-09-07,313655,0,0.47,0.169,0.619,0.0,0.723,-4.395,0.0297,80.927,4
Seviyorsan İnanıyorsan,Darmaduman,Duman,2013-09-12,242160,0,0.0752,0.307,0.898,9.62e-06,0.0793,-5.163,0.0674,149.9,4
Belki Üstümüzden Bir Kuş Geçer,Yüksek Sadakat,Yüksek Sadakat,2005-04-21,269506,0,0.168,0.518,0.676,1.24e-06,0.436,-5.382,0.0272,100.056,4
Aşk Dediğin,Aşk Dediğin,Majeste,2014-03-17,275755,64,0.62,0.548,0.648,0.0,0.134,-7.603,0.0294,81.072,4
Bir Pazar Kahvaltısı,Bir Pazar Kahvaltısı,emre aydın,2014-11-24,257405,0,0.0291,0.553,0.666,0.0,0.331,-6.815,0.0301,140.088,4
Sorun Var,Sorun Var,Nabıcaz,2022-05-06,263108,27,0.0567,0.483,0.446,0.33,0.118,-13.573,0.0308,147.947,4
Cambaz,Dünya Yalan Söylüyor,mor ve ötesi,2004-04-16,230600,0,0.0183,0.537,0.877,7.97e-05,0.22,-1.761,0.0358,153.996,4
Meyhaneler Sen...,Neden?,Gece Yolcuları,2013-01-01,278640,61,0.625,0.647,0.647,1.6e-05,0.178,-6.489,0.0241,91.965,4
Seni Kendime Sakladım,Seni Kendime Sakladım,Duman,2005-07-04,242786,67,0.546,0.536,0.544,5.79e-06,0.0834,-7.704,0.0333,138.348,4
Dursun Zaman (feat. Göksel),maNga +,maNga,2004-01-27,295866,67,0.085,0.406,0.901,1.65e-05,0.0499,-5.671,0.206,185.986,4
Dokunma,"Orhan Gencebay ile Bir Ömür, Vol.2",Various Artists,2012,275647,54,0.167,0.496,0.702,0.0,0.122,-5.472,0.0294,167.98,4
Hint Kumaşı,Işıkları Söndürseler Bile,maNga,2014-04-14,283336,55,0.000731,0.521,0.889,0.0,0.427,-6.191,0.0729,144.037,4
Mey,Mey,Model,2016-03-14,287118,0,0.446,0.396,0.601,0.0,0.12,-6.23,0.0551,120.075,4
Elfida,Akşam Üstü,Haluk Levent,2014-07-19,333640,0,0.0143,0.59,0.753,3.41e-05,0.388,-6.123,0.0297,99.979,4
Her Şeyi Yak,Belki Alışman Lazım,Duman,2002-10-16,270280,68,0.459,0.627,0.538,0.0,0.123,-6.79,0.0246,100.038,4
Ben Öldüm,Gece,Gece,2011-05-12,183093,56,0.0102,0.633,0.687,2.55e-06,0.133,-5.154,0.0449,96.011,4
Kime Ne,Athena,Athena,2005-06-03,231874,0,0.000846,0.682,0.834,3.67e-05,0.203,-5.017,0.0311,130.01,4
Elleri Ellerime,Duman 2,Duman,2010-07-06,256213,60,0.0768,0.67,0.64,0.0,0.0982,-8.233,0.0421,116.038,4
Olsun,Olsun,Pilli Bebek,2007-05-17,277720,0,0.437,0.66,0.587,0.46,0.107,-11.411,0.0266,115.01,4
Sen Ona Aşıksın - Kabullenme,Levla'nın Hikayesi (Bonus Edition),Model,2013,229496,0,0.0436,0.59,0.705,0.0,0.0733,-7.003,0.0421,95.975,4
Anladım,Anladım,Gülsün Çetinkaya,2022-09-28,270551,33,0.469,0.592,0.57,0.0,0.293,-7.036,0.0731,159.84,3
Sokak Lambası,Sokak Lambası,yirmi7,2016-06-20,252598,66,0.498,0.464,0.624,0.0,0.0924,-6.331,0.0402,176.08,4
Sen Ağlama,Badem,Badem,2003-05-19,221600,64,0.0969,0.586,0.656,0.000379,0.124,-5.694,0.0252,131.912,4
Köprüaltı,Eski Köprünün Altında,Duman,1999-11-05,291693,64,0.283,0.589,0.726,0.0,0.0875,-6.046,0.0444,150.068,4
Durma Yağmur Durma,M.S. 05.03.2010,Gripin,2010-03-04,301400,58,0.426,0.58,0.567,0.0,0.0947,-6.258,0.0299,141.883,4
Beni Benimle Bırak,Şehr-i Hüzün,maNga,2009-11-09,209973,58,0.0232,0.543,0.953,0.0,0.0732,-3.121,0.0691,155.996,4
Bir Melek Vardı,Diğer Masallar,Model,2011-02-16,238628,0,0.0438,0.503,0.825,1.6e-05,0.0975,-5.749,0.0622,140.109,4
Kafile,Yüksek Sadakat,Yüksek Sadakat,2005-04-21,258786,68,0.0542,0.573,0.749,0.0,0.37,-6.007,0.0275,100.016,4
Vazgeçtim Ben Bugün,Yalnızlığın Çaresini Bulmuşlar,Gripin,2012-11-07,244897,59,0.0776,0.595,0.883,0.0,0.118,-5.28,0.0707,128.06,4
Yalnızlığın Çaresini Bulmuşlar,Yalnızlığın Çaresini Bulmuşlar,Gripin,2012-11-07,226768,60,0.45,0.493,0.835,0.0,0.136,-4.446,0.0431,174.151,4
Böyle Ayrılık Olmaz,Yatağın Soğuk Tarafı,Kolpa,2011,215806,58,0.0144,0.578,0.712,0.0,0.0733,-7.202,0.0328,139.095,4
Ağlamam Zaman Aldı - İnkar,Levla'nın Hikayesi (Bonus Edition),Model,2013,246808,54,0.461,0.381,0.612,0.0,0.105,-5.753,0.0476,120.274,4
Kupa Kızı Ve Sinek Valesi,Teo,Teoman,2003-03-05,295066,66,0.0187,0.586,0.773,0.0,0.314,-5.724,0.0303,94.83,4
Hayalet Sevgilim,Hayalet Sevgilim,Irem,2006-02-15,288680,66,0.0284,0.651,0.624,0.0,0.128,-9.199,0.0373,122.012,4
Ben Seni Arayamam,Katil & Maktül,Yüksek Sadakat,2008,275053,58,0.136,0.501,0.8,0.0038,0.162,-3.845,0.0412,139.949,4
Yürek,Darmaduman,Duman,2013-09-12,251353,67,0.277,0.673,0.719,9.56e-06,0.101,-7.299,0.0362,127.975,4
Serseri,Eski Bir Rüya Uğruna...,Teoman,2015-03-16,221155,63,0.115,0.665,0.522,1.79e-06,0.0756,-5.858,0.0301,74.999,4
Her Aşk Ölümü Tadacak,Şehr-i Hüzün,maNga,2009-11-09,222866,55,0.0031,0.597,0.938,1.9e-05,0.127,-3.237,0.0345,130.031,4
Işıkları Söndürseler Bile,Işıkları Söndürseler Bile,maNga,2014-04-14,268935,61,0.00319,0.536,0.848,0.00448,0.174,-6.254,0.0339,107.002,3
Değmesin Ellerimiz,Diğer Masallar,Model,2011-02-16,267702,68,0.123,0.615,0.757,0.0,0.275,-6.506,0.0685,99.96,3
Yine Yeni Yeniden - Yeniden Sev,Yine Yeni Yeniden (Yeniden Sev),maNga,2015-04-02,215465,63,0.00051,0.59,0.894,6.65e-05,0.109,-5.291,0.0466,136.004,4
Alışırım Gözlerimi Kapamaya,Şehr-i Hüzün,maNga,2009-11-09,354373,55,0.0453,0.613,0.766,1.57e-06,0.101,-4.135,0.025,92.018,4
Güzel Bir Gün Ölmek İçin,"Konserler, Vol. 1",Teoman,2012-01-13,321149,57,0.201,0.489,0.952,1.96e-05,0.993,-6.732,0.139,135.836,4
Beş,M.S. 05.03.2010,Gripin,2010-03-04,329691,57,0.475,0.587,0.575,0.0,0.112,-6.628,0.0435,87.929,4
Yaz Yaz Yaz,Kayıtlar 2005-2016,mor ve ötesi,2016-12-20,300130,55,0.0139,0.635,0.681,0.000453,0.131,-9.244,0.029,140.779,4
Öyle Dertli,Darmaduman,Duman,2013-09-12,301734,62,0.0103,0.561,0.62,0.00928,0.474,-5.862,0.0273,95.024,4
Bitti Rüya,maNga +,maNga,2004-01-27,239933,53,0.0351,0.42,0.853,0.0,0.352,-5.499,0.161,180.085,4
Paramparça,17,Teoman,2000-04-28,232533,61,0.202,0.7,0.794,0.0,0.426,-4.679,0.0533,94.985,4
Sen Benim Şarkılarımsın,Sen Benim Şarkılarımsın,Cem Adrian,2018-08-09,212062,65,0.721,0.553,0.38,0.0,0.119,-10.697,0.0473,97.01,4
Kimse Bilmez,Zamboni Sokağı,Mehmet Güreli,2017-05-19,205786,64,0.966,0.675,0.244,0.00286,0.0866,-12.17,0.0355,117.835,4
Ve Ben,Akşamüstü,Yaşlı Amca,2017-09-01,245194,62,0.595,0.399,0.557,2.27e-06,0.145,-6.203,0.0406,175.944,4
Tutuşmuş Beraber,Tutuşmuş Beraber,Melike Şahin,2018-09-07,279127,61,0.935,0.576,0.177,0.00229,0.107,-15.799,0.068,124.642,4
Yani,Mor'üyalar,Fırat Tanış,2014-12-12,247279,58,0.796,0.465,0.28,3.33e-06,0.135,-14.065,0.0623,155.917,4
Yalnız Ölmek,Yalnız Ölmek,Can Güngör,2016-12-16,227578,58,0.569,0.611,0.415,1.62e-05,0.223,-9.457,0.0401,102.958,4
Geldin,Bul Beni,Mahmut Çınar,2019-04-19,201386,55,0.316,0.676,0.733,3.49e-05,0.0989,-7.788,0.0302,92.029,4
Medcezir,Med Cezir,Levent Yüksel,1993-05-14,273920,55,0.587,0.697,0.286,5.95e-06,0.0871,-14.804,0.0377,80.14,4
Sürsün Bahar,Sürsün Bahar,Can Kazaz,2018-11-02,177120,54,0.606,0.595,0.256,0.00217,0.243,-13.377,0.0336,115.827,4
Birak Beni Böyle,Colors,Karsu,2015-09-11,208685,53,0.79,0.506,0.267,0.000149,0.0891,-7.888,0.0306,111.161,3
Sen Istersin,Sen Istersin,Sedef Sebüktekin,2017-08-07,203400,53,0.753,0.782,0.343,0.00577,0.0844,-16.165,0.0601,99.97,4
Benim Hala Umudum Var,Her Şey Çok Güzel Olacak,Mazhar Alanson,1998-12-02,212506,52,0.881,0.632,0.244,0.0,0.0941,-13.377,0.0287,80.941,4
Sen Banasın,Bitsin Bu Delilik,Cihan Mürtezaoğlu,2016-09-30,254760,51,0.0285,0.574,0.695,0.539,0.178,-10.24,0.0388,79.984,4
Geri Ver,Geri Ver,Melike Şahin,2020-02-07,266620,56,0.805,0.646,0.454,0.0133,0.14,-9.057,0.0319,125.964,4
Kendi Halimde,Eski Usûl,Can Kazaz,2015-08-29,192173,51,0.93,0.612,0.0332,0.108,0.111,-20.118,0.0572,110.667,4
Orda Ortada,Rüyalarda Buruşmuşuz,Adamlar,2016-10-27,221797,51,0.0591,0.607,0.65,0.112,0.15,-9.635,0.0269,118.034,4
Aç Kapıyı Gir İçeri,Hayatım Şarkılarda,Özdemir Erdoğan,2001-05-02,236400,51,0.368,0.698,0.509,0.00113,0.114,-16.219,0.0348,113.819,4
Lapa Lapa,46,Kahraman Deniz,2017-05-05,201500,51,0.816,0.681,0.502,5.9e-06,0.127,-10.853,0.0473,155.973,4
Olsun - Akustik,Olsun,Pilli Bebek,2007-05-17,296306,51,0.836,0.533,0.274,0.00035,0.0854,-14.071,0.0289,107.017,4
Onlar da Yansın,Akustik Travma,Yüzyüzeyken Konuşuruz,2018-02-23,142392,50,0.0736,0.66,0.657,0.856,0.22,-8.754,0.0565,92.989,4
Bi' fırlatsam,Bi' fırlatsam,Melike Şahin,2017-07-27,238190,49,0.847,0.622,0.459,4.15e-05,0.101,-9.17,0.0444,125.938,4
Farketmeden,Yadigar,Fikret Kızılok,1995-08-14,256998,49,0.929,0.745,0.13,0.782,0.117,-21.185,0.0382,102.938,4
Yine Gönlüm Karardı,Yine Gönlüm Karardı,Barış Diri,2019-05-24,168215,49,0.914,0.603,0.122,0.000137,0.0998,-18.052,0.0521,107.583,4
Ellerimde Çiçekler,Kurtuluş Son Durak (Original Motion Picture Soundtrack),Various Artists,2013-11-27,248760,48,0.36,0.621,0.515,2.11e-06,0.0488,-12.951,0.0376,105.436,4
Hatıralar,Mirkelam,Mirkelam,1995-05-22,276733,48,0.698,0.582,0.186,0.0,0.107,-14.387,0.0294,103.095,4
Varsa Yoksa,Varsa Yoksa,Birkan Nasuhoğlu,2017-10-16,254122,47,0.862,0.695,0.368,0.000488,0.102,-13.18,0.0451,133.071,4
Hayal Edemezsin,Zor Zamanlar,Fikri Karayel,2014,192725,47,0.888,0.526,0.51,0.0,0.267,-8.297,0.0485,67.245,4
Bi' Fazla,Bi' Fazla,Elçin Orçun,2018-05-25,203588,47,0.526,0.715,0.366,1.63e-06,0.122,-9.834,0.0863,140.038,4
Merkür Retrosu,Merkür Retrosu,Güler Özince,2017-05-18,241881,47,0.847,0.733,0.396,1.34e-06,0.115,-9.394,0.0369,124.788,4
Hasret,Ekho (Efsane Hanımlar),Sema,2006-10-02,242200,47,0.812,0.211,0.216,0.000156,0.113,-12.192,0.0316,95.472,1
Benİ Yalniz Koma,Benİ Yalniz Koma,Boom Pam,2017-08-22,218129,46,0.102,0.504,0.772,1.32e-05,0.108,-4.886,0.0354,127.065,4
Bu Mudur - Akustik Versiyon,Tek Taşımı Kendim Aldım,Nil Karaibrahimgil,2006-05-19,187946,46,0.674,0.737,0.423,0.0,0.0924,-7.133,0.0312,109.931,4
Kalbimdeki Deniz,Kalbimdeki Deniz,Incesaz,2009-02-04,195094,46,0.804,0.542,0.567,1.07e-06,0.11,-7.543,0.0389,169.857,4
Galata'da Rıhtımda,Koyu Antoloji,Teoman,2018-01-12,273310,45,0.683,0.318,0.314,0.0417,0.116,-11.519,0.0919,179.189,3
Bülbülüm Altın Kafeste,On Türkü,Pinhani,2018-02-09,374640,45,0.599,0.409,0.494,7.78e-06,0.241,-7.834,0.035,111.646,3
Bir Fırtına Tuttu Bizi,Bir Fırtına Tuttu Bizi,Melisa Karakurt,2019-01-22,205621,44,0.977,0.553,0.107,8.76e-05,0.113,-11.305,0.0333,89.872,4
Öyle Olsa,Öyle Olsa,Güler Özince,2018-09-21,218241,44,0.659,0.664,0.539,0.000215,0.0711,-7.066,0.0286,62.59,4
Sonraki Gün,İnsan Gelir İnsan Geçer,Sena Şener,2018-09-14,259508,44,0.834,0.738,0.222,0.000541,0.115,-12.102,0.029,110.016,4
Seni Düşünmek Güzel Şey,Seni Düşünmek,Ezginin Günlügü,1989-11-10,268200,44,0.933,0.336,0.231,0.000217,0.165,-16.042,0.0357,102.21,4
Mevsim Çiçekleri,Mevsim Çiçekleri,Evrencan Gündüz,2018-06-07,326160,43,0.718,0.543,0.308,0.0,0.146,-12.565,0.0318,104.92,3
Havada Bir Hinlik Var,Döngü,Nilipek.,2017-12-01,194629,43,0.946,0.496,0.0799,0.00551,0.0888,-20.419,0.0493,151.573,3
Kendine Zaman Ver - Bonus Track,Sizler Hiç Yokken,Jehan Barbur,2014-08-26,279453,43,0.816,0.606,0.327,0.0,0.0982,-11.563,0.0313,147.944,4
Aşk Yeniden,Her Dem Yeni,Yeni Türkü,1996-10-01,169795,43,0.362,0.745,0.651,0.0,0.18,-8.681,0.0357,96.202,4
Yürüyorum Dikenlerin Üstünde,Memleket Nere,Barabar,2019-01-07,233732,42,0.746,0.569,0.418,0.00242,0.0816,-11.958,0.027,122.034,4
O,O,Teoman,1998-06-19,149333,42,0.314,0.449,0.513,0.000611,0.297,-9.177,0.0285,149.957,4
Şimdi Gel de Aşka İnanma,Şimdi Gel de Aşka İnanma,Daniska,2021-09-03,231051,42,0.751,0.353,0.424,0.00153,0.0968,-9.318,0.0464,159.03,4
Bul Beni,Bul Beni,Mahmut Çınar,2019-04-19,236181,41,0.837,0.571,0.373,0.0296,0.111,-12.019,0.0493,90.123,4
Bence Artık Sen De Herkes Gibisin,Haykırış,Cem Karaca,1998-08-08,256360,41,0.923,0.346,0.286,0.00194,0.122,-17.856,0.0702,111.241,4
Uzun İnce Bir Yoldayım,Uzun İnce Bir Yoldayım,Eda Baba,2017-07-07,204962,41,0.767,0.417,0.369,0.0,0.136,-6.747,0.0293,199.813,4
Sevmek İstiyorum,En İyileriyle Erkut Taçkın,Erkut Taçkın,1975,171333,46,0.586,0.769,0.348,0.00865,0.113,-10.088,0.207,74.883,4
Gurbet,Yorumcu,Özdemir Erdoğan,1993-04-07,206506,56,0.4,0.642,0.477,0.0177,0.143,-15.201,0.0349,90.638,4
Alla Beni Pulla Beni,Hal Hal,Barış Manço,1989-12-22,245840,60,0.55,0.477,0.499,0.0,0.233,-14.639,0.0843,166.677,4
Burçak Tarlası,Burçak Tarlası,Tülay German,2000-05-09,213306,44,0.855,0.522,0.471,0.0,0.0983,-9.58,0.0435,111.149,4
Seni Her Gördüğümde,Mesafeler,Erkin Koray,1974,199173,67,0.342,0.587,0.529,0.0,0.275,-10.592,0.0311,119.103,4
Tamirci Çırağı,Ölümsüzler,Cem Karaca,2004,296560,57,0.543,0.303,0.77,3.89e-05,0.107,-4.697,0.353,202.238,3
Edali Gelin,Kardaslar,Seyhan Karabay,1975,236000,37,0.684,0.617,0.587,0.319,0.119,-11.189,0.0644,130.103,4
Sultan-ı Yegah,Sultan-ı Yegah,Nur Yoldas,1998-06-11,193666,60,0.766,0.419,0.695,0.000254,0.357,-5.497,0.0558,176.554,4
Sevenler Ağlarmış,3 Hürel (Türk Pop Tarihi),3 Hürel,1999,353693,48,0.00143,0.426,0.744,0.189,0.18,-10.153,0.0636,134.714,4
Yollar,Yollar / Hele Hele Gel,Aziz Azmet,1971-04-10,160170,39,0.438,0.484,0.746,0.000451,0.139,-9.209,0.0484,101.813,4
Dolana Ay Dolana,Mustafa Özkent Ve Orkestrası Gençlik İle El Ele,Mustafa Özkent,2007-01-29,276410,37,0.507,0.65,0.795,0.497,0.0834,-13.746,0.0416,120.959,4
Sevince,"Şaşkın / Dünden Esintiler, Vol.1",Erkin Koray,1993-08-18,315200,56,0.611,0.61,0.299,0.00311,0.315,-18.453,0.0324,130.275,4
Gönül Ferman Dinlemiyor,Sahibinden İhtiyaçtan,Barış Manço,1989-12-07,288106,49,0.766,0.581,0.507,0.0,0.105,-9.778,0.031,165.761,4
İkimiz Bir Fidanız - Barış K Edit,"ISTANBUL70 : Disco, Psych, Folk Edits by Barış K Vol.2",Cem Karaca,2011-01-01,223720,42,0.374,0.55,0.715,3.5e-06,0.17,-11.164,0.063,82.116,4
Gesi Bağları,Türkülerimiz 1,Selda Bağcan,1995-01-01,211748,53,0.987,0.406,0.262,0.439,0.111,-12.096,0.0355,124.088,4
İçimde Dinmez Sızısın,Yeşil Gözler Sürmeli / İçimde Dinmez Sızısın,Grup A1,1979-05-11,269750,36,0.332,0.549,0.357,0.000864,0.34,-12.581,0.0313,115.421,4
Sen Diyorsun ki,Sen Diyorsun ki,Nejat,1975-06-08,226000,34,0.584,0.263,0.475,0.0,0.213,-11.262,0.0504,167.07,4
Çöpçüler,"Çöpçüler / Ceylan / Dünden Esintiler, Vol.2",Erkin Koray,1993-07-27,239266,54,0.149,0.469,0.486,1.21e-05,0.123,-15.076,0.0427,130.737,4
Fesuphanallah - Enstrümantal,Modern Sazlardan Oyun Havaları,Şençalar Kardeşler,1987-03-04,216093,36,0.23,0.634,0.638,0.613,0.185,-13.904,0.0274,130.402,4
Zühtü,Odeon Yılları,Esin Afşar,2010-12-14,213866,42,0.0444,0.704,0.665,0.00069,0.0644,-10.955,0.028,92.661,4
İyi Düşün Taşın,Mavi Işıklar - Türk Pop Tarihi,Mavi Işıklar,2002-03-06,150573,49,0.598,0.644,0.51,0.677,0.0775,-11.295,0.0321,123.483,4
Namus Belası,Ölümsüzler,Cem Karaca,2004,263973,49,0.204,0.344,0.86,0.00119,0.392,-2.085,0.15,100.875,4
Kara Sevda,"Mançoloji, Vol. 1",Barış Manço,1999-02-23,264698,55,0.173,0.464,0.832,0.0,0.329,-8.732,0.0492,165.077,4
Hal Hal,Hal Hal,Nazan Şoray,1980-04-06,192654,41,0.583,0.773,0.458,8.64e-05,0.381,-11.083,0.197,95.418,4
Adimiz Miskindir Bizim,Christophe Lemaire And Now-Again Present: Where Are You From?,Various Artists,2011-10-18,325320,46,0.173,0.529,0.691,0.00814,0.106,-5.457,0.0255,107.007,4
Aya Bak Yıldıza Bak,Şeker Alalım,Tpao Batman Orkestrası,1968,142422,40,0.776,0.518,0.657,0.00817,0.144,-10.843,0.0393,106.754,4
Malabadi Köprüsü,Malabadi Köprüsü,Selçuk Alagöz,2015-05-07,175250,41,0.261,0.705,0.529,1.75e-05,0.284,-12.065,0.0464,91.211,4
