Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Kick You When You're Down,POWER UP,AC/DC,2020-11-13,190333,57,8.32e-05,0.675,0.93,0.000454,0.315,-4.515,0.0319,110.013,4
Heatseeker,Blow Up Your Video,AC/DC,1988-02-01,230400,56,0.00225,0.372,0.873,0.137,0.0638,-5.049,0.0426,159.991,4
Walk All Over You,Highway to Hell,AC/DC,1979-07-27,310000,58,0.00791,0.233,0.87,0.0198,0.251,-4.653,0.0643,162.003,4
Live Wire,High Voltage,AC/DC,1976-05-14,348600,58,0.0122,0.586,0.84,0.0116,0.0842,-5.341,0.0487,132.36,4
Witch's Spell,POWER UP,AC/DC,2020-11-13,222253,56,0.000165,0.616,0.801,3.97e-05,0.11,-4.39,0.0342,120.029,4
Ride On,Dirty Deeds Done Dirt Cheap,AC/DC,1976-09-20,350266,56,0.514,0.73,0.388,0.00791,0.0735,-9.511,0.051,105.716,3
Hell Ain't a Bad Place to Be,Let There Be Rock,AC/DC,1977-03-21,254120,55,0.181,0.604,0.737,0.0146,0.346,-5.284,0.175,128.056,4
Let's Get It Up,For Those About to Rock (We Salute You),AC/DC,1981-11-23,234026,54,0.000702,0.514,0.904,0.0334,0.0815,-4.173,0.0634,108.927,4
Realize,POWER UP,AC/DC,2020-11-13,217466,58,3.78e-06,0.455,0.79,0.00021,0.0866,-4.049,0.0432,125.964,4
Rock 'N' Roll Damnation,Powerage,AC/DC,1978-05-05,217640,54,0.0327,0.524,0.995,0.147,0.0819,-2.676,0.106,133.596,4
The Jack,High Voltage,AC/DC,1976-05-14,352040,58,0.0094,0.646,0.473,0.000337,0.195,-6.297,0.0619,112.326,4
Big Balls,Dirty Deeds Done Dirt Cheap,AC/DC,1976-09-20,158773,58,0.432,0.62,0.634,0.0,0.604,-6.324,0.198,107.066,4
Through The Mists Of Time,POWER UP,AC/DC,2020-11-13,212226,54,1.62e-06,0.57,0.753,0.627,0.133,-5.98,0.0365,119.99,4
Sin City,Powerage,AC/DC,1978-05-05,285040,55,0.00197,0.543,0.757,0.626,0.103,-4.986,0.0497,127.648,4
Baptism By Fire,Rock or Bust,AC/DC,2014-11-28,210200,53,4.67e-06,0.457,0.93,0.197,0.174,-4.203,0.0588,150.188,4
